make_id,model_id,year,cylinder_capacity,km,color,region,price,fuel_type_id,transmission_id,traction_id,age
42,539,2012,,131200,,Metropolitana de Santiago,16500000,0,1,,12
26,326,2012,2400,130000,,Región Metropolitana,8500000,0,1,,12
47,616,2022,2000,69109,,Los Lagos,16550000,0,0,,2
11,156,2015,5300,150000,,Valparaíso,19500000,0,1,1,9
63,762,2020,,136000,,IIAntofagasta,15490000,1,0,,4
4,6023,2015,,70000,,Metropolitana de Santiago,49990000,0,1,,9
11,820,2017,1800,87000,,OHiggins,8500000,0,0,0,7
47,621,2006,3500,180000,,Metropolitana de Santiago,3800000,0,1,,18
60,728,2017,2000,138000,,Región Metropolitana,12990000,0,1,1,7
49,1360,2008,,123907,,Metropolitana de Santiago,8190000,1,0,,16
49,813,2016,1600,240000,,Región Metropolitana,6500000,1,0,,8
4,27,2017,2000,77000,,Valparaíso,24000000,0,1,0,7
60,727,2018,2000,45,,Metropolitana de Santiago,13500000,0,1,1,6
60,1721,2012,,145000,Azul,Metropolitana de Santiago,19990000,0,1,,12
20,285,2015,2000,87500,Grafito,Metropolitana de Santiago,6990000,0,0,0,9
60,727,2010,2000,119200,,Metropolitana de Santiago,7400000,0,1,1,14
61,750,2018,1400,77000,,Región Metropolitana,8200000,0,0,,6
16,236,2021,6700,99999999999,,Metropolitana de Santiago,11290000,0,0,,3
31,382,2021,,84000,,IV Coquimbo,36900000,0,1,,3
29,1686,2021,2000,84500,,Metropolitana de Santiago,11990000,1,0,0,3
11,149,2010,3600,170000,,Los Ríos,8900000,0,1,1,14
30,1804,2021,,44633,,Región Metropolitana,51990000,1,1,1,3
27,5588,2017,1400,65000,,Araucanía,8400000,0,0,0,7
61,750,2022,1400,60000,,Antofagasta,10200000,0,1,0,2
63,1322,2006,4000,235000,,Los Lagos,9300000,0,1,1,18
27,350,2014,1600,223000,,Coquimbo,7500000,0,0,0,10
64,792,2018,2000,136000,,Región de La Araucanía,16990000,1,1,1,6
43,583,2020,1500,69015,,Región del Maule,11190000,0,0,,4
40,474,2014,2200,233000,,Metropolitana de Santiago,13000000,1,1,1,10
49,810,2017,,116197,,Metropolitana de Santiago,7490000,0,0,,7
45,598,2019,,60000,,Bío Bío,13800000,0,0,,5
6,117,2011,2000,162000,,Maule,9000000,0,1,0,13
59,718,2009,2000,240000,,V Valparaíso,4450000,1,1,1,15
6,116,2014,2000,186000,,Valparaíso,9999999,0,1,,10
